date,phc_id,total_beds,occupied_beds,available_beds,occupancy_pct,admissions,discharges
2024-09-01,PHC_001,25,1,24,4.0,1,0
2024-09-01,PHC_002,30,0,30,0.0,0,0
2024-09-01,PHC_003,30,0,30,0.0,0,0
2024-09-01,PHC_004,20,3,17,15.0,3,0
2024-09-01,PHC_005,20,1,19,5.0,1,0
2024-09-01,PHC_006,40,0,40,0.0,0,0
2024-09-01,PHC_007,15,1,14,6.7,1,0
2024-09-01,PHC_008,15,1,14,6.7,1,0
2024-09-01,PHC_009,30,0,30,0.0,0,0
2024-09-01,PHC_010,15,1,14,6.7,1,0
2024-09-01,PHC_011,30,1,29,3.3,1,0
2024-09-01,PHC_012,15,0,15,0.0,0,0
2024-09-01,PHC_013,20,0,20,0.0,0,0
2024-09-01,PHC_014,15,1,14,6.7,1,0
2024-09-01,PHC_015,30,1,29,3.3,1,0
2024-09-01,PHC_016,20,0,20,0.0,0,0
2024-09-01,PHC_017,20,0,20,0.0,0,0
2024-09-01,PHC_018,30,0,30,0.0,0,0
2024-09-01,PHC_019,25,1,24,4.0,1,0
2024-09-01,PHC_020,20,0,20,0.0,0,0
2024-09-01,PHC_021,20,0,20,0.0,0,0
2024-09-01,PHC_022,25,1,24,4.0,1,0
2024-09-01,PHC_023,30,0,30,0.0,0,0
2024-09-01,PHC_024,30,1,29,3.3,1,0
2024-09-01,PHC_025,15,0,15,0.0,0,0
2024-09-01,PHC_026,15,3,12,20.0,3,0
2024-09-01,PHC_027,20,0,20,0.0,0,0
2024-09-01,PHC_028,25,0,25,0.0,0,0
2024-09-01,PHC_029,20,2,18,10.0,2,0
2024-09-01,PHC_030,15,0,15,0.0,0,0
2024-09-01,PHC_031,20,0,20,0.0,0,0
2024-09-01,PHC_032,15,1,14,6.7,1,0
2024-09-01,PHC_033,20,1,19,5.0,1,0
2024-09-01,PHC_034,25,0,25,0.0,0,0
2024-09-01,PHC_035,20,0,20,0.0,0,0
2024-09-01,PHC_036,20,2,18,10.0,2,0
2024-09-01,PHC_037,15,0,15,0.0,0,0
2024-09-01,PHC_038,30,1,29,3.3,1,0
2024-09-01,PHC_039,30,2,28,6.7,2,0
2024-09-01,PHC_040,25,0,25,0.0,0,0
2024-09-01,PHC_041,30,0,30,0.0,0,0
2024-09-01,PHC_042,20,1,19,5.0,1,0
2024-09-01,PHC_043,20,0,20,0.0,0,0
