phc_id_from,phc_id_to,distance_km,travel_time_hours
PHC_001,PHC_002,178.4,4.79
PHC_001,PHC_003,104.3,3.61
PHC_001,PHC_004,51.3,1.59
PHC_001,PHC_005,163.3,5.56
PHC_001,PHC_006,76.1,1.98
PHC_001,PHC_007,44.8,1.26
PHC_001,PHC_008,149.0,4.66
PHC_001,PHC_009,101.6,3.53
PHC_001,PHC_010,49.7,1.57
PHC_001,PHC_011,101.3,3.18
PHC_001,PHC_012,117.8,3.2
PHC_001,PHC_013,12.3,0.35
PHC_001,PHC_014,158.2,4.09
PHC_001,PHC_015,119.6,3.55
PHC_002,PHC_001,178.4,6.06
PHC_002,PHC_003,149.7,4.09
PHC_002,PHC_004,127.2,3.43
PHC_002,PHC_005,36.0,1.04
PHC_002,PHC_006,118.3,3.18
PHC_002,PHC_007,154.9,4.57
PHC_002,PHC_008,54.1,1.58
PHC_002,PHC_009,92.0,2.78
PHC_002,PHC_010,156.6,5.53
PHC_002,PHC_011,82.5,2.82
PHC_002,PHC_012,110.8,3.9
PHC_002,PHC_013,167.0,4.69
PHC_002,PHC_014,20.4,0.64
PHC_002,PHC_015,94.3,2.77
PHC_003,PHC_001,104.3,2.68
PHC_003,PHC_002,149.7,4.83
PHC_003,PHC_004,90.4,2.75
PHC_003,PHC_005,157.3,4.24
PHC_003,PHC_006,50.8,1.65
PHC_003,PHC_007,126.2,4.36
PHC_003,PHC_008,154.9,4.92
PHC_003,PHC_009,62.5,2.09
PHC_003,PHC_010,132.3,3.38
PHC_003,PHC_011,117.3,3.11
PHC_003,PHC_012,40.1,1.13
PHC_003,PHC_013,94.7,2.46
PHC_003,PHC_014,135.4,3.6
PHC_003,PHC_015,55.7,1.84
PHC_004,PHC_001,51.3,1.33
PHC_004,PHC_002,127.2,3.69
PHC_004,PHC_003,90.4,2.4
PHC_004,PHC_005,112.7,2.91
PHC_004,PHC_006,43.0,1.35
PHC_004,PHC_007,40.2,1.37
PHC_004,PHC_008,99.7,3.24
PHC_004,PHC_009,59.0,1.78
PHC_004,PHC_010,45.5,1.2
PHC_004,PHC_011,51.5,1.34
PHC_004,PHC_012,85.5,3.04
PHC_004,PHC_013,40.4,1.18
PHC_004,PHC_014,107.0,3.24
PHC_004,PHC_015,81.0,2.64
PHC_005,PHC_001,163.3,5.55
PHC_005,PHC_002,36.0,1.12
PHC_005,PHC_003,157.3,4.0
PHC_005,PHC_004,112.7,3.54
PHC_005,PHC_006,116.5,3.4
PHC_005,PHC_007,132.8,3.64
PHC_005,PHC_008,19.8,0.61
PHC_005,PHC_009,95.1,2.4
PHC_005,PHC_010,133.3,3.37
PHC_005,PHC_011,62.1,2.0
PHC_005,PHC_012,122.3,3.6
PHC_005,PHC_013,153.0,4.84
PHC_005,PHC_014,28.7,0.91
PHC_005,PHC_015,105.6,3.71
PHC_006,PHC_001,76.1,2.15
PHC_006,PHC_002,118.3,3.48
PHC_006,PHC_003,50.8,1.78
PHC_006,PHC_004,43.0,1.37
PHC_006,PHC_005,116.5,2.99
PHC_006,PHC_007,82.5,2.67
PHC_006,PHC_008,110.1,3.7
PHC_006,PHC_009,28.2,0.83
PHC_006,PHC_010,88.0,2.21
PHC_006,PHC_011,68.0,2.2
PHC_006,PHC_012,43.6,1.21
PHC_006,PHC_013,64.0,1.72
PHC_006,PHC_014,100.3,3.25
PHC_006,PHC_015,43.5,1.18
PHC_007,PHC_001,44.8,1.38
PHC_007,PHC_002,154.9,4.35
PHC_007,PHC_003,126.2,3.54
PHC_007,PHC_004,40.2,1.17
PHC_007,PHC_005,132.8,4.57
PHC_007,PHC_006,82.5,2.17
PHC_007,PHC_008,115.8,3.64
PHC_007,PHC_009,98.8,3.27
PHC_007,PHC_010,6.1,0.21
PHC_007,PHC_011,72.6,2.07
PHC_007,PHC_012,125.6,3.48
PHC_007,PHC_013,42.9,1.52
PHC_007,PHC_014,134.7,3.94
PHC_007,PHC_015,121.2,3.95
PHC_008,PHC_001,149.0,4.17
PHC_008,PHC_002,54.1,1.8
PHC_008,PHC_003,154.9,4.27
PHC_008,PHC_004,99.7,3.05
PHC_008,PHC_005,19.8,0.5
PHC_008,PHC_006,110.1,3.71
PHC_008,PHC_007,115.8,3.61
PHC_008,PHC_009,92.6,3.15
PHC_008,PHC_010,115.9,2.96
PHC_008,PHC_011,48.3,1.25
PHC_008,PHC_012,123.0,3.96
PHC_008,PHC_013,139.5,3.88
PHC_008,PHC_014,41.4,1.1
PHC_008,PHC_015,106.9,3.08
PHC_009,PHC_001,101.6,2.96
PHC_009,PHC_002,92.0,2.98
PHC_009,PHC_003,62.5,2.15
PHC_009,PHC_004,59.0,1.52
PHC_009,PHC_005,95.1,2.45
PHC_009,PHC_006,28.2,0.79
