date,phc_id,drug_id,opening_stock,received_qty,dispensed_qty,closing_stock,reorder_point,safety_stock
2024-09-01,PHC_001,ORS_SACHET,556,0,4,552,200,400
2024-09-01,PHC_001,PARACETAMOL_500MG,1683,0,9,1674,500,1000
2024-09-01,PHC_001,AMOXICILLIN_500MG,829,0,2,827,300,600
2024-09-01,PHC_001,ANTIMALARIAL_ACT,435,0,2,433,100,250
2024-09-01,PHC_001,ANTIVENOM_VIAL,43,0,0,43,10,25
2024-09-01,PHC_001,INSULIN_VIAL,125,0,3,122,40,80
2024-09-01,PHC_001,ORAL_REHYDRATION_IV,273,0,3,270,80,150
2024-09-01,PHC_001,MEASLES_VACCINE,582,0,3,579,150,300
2024-09-01,PHC_001,ANTIHISTAMINE,722,0,8,714,200,400
2024-09-01,PHC_001,IBUPROFEN_400MG,1192,0,10,1182,300,600
2024-09-01,PHC_001,COUGH_SYRUP,372,0,1,371,100,200
2024-09-01,PHC_001,ANTIDIARRHEAL,514,0,2,512,150,300
2024-09-01,PHC_001,DENGUE_TEST_KIT,149,0,1,148,50,120
2024-09-01,PHC_001,TETANUS_TOXOID,376,0,2,374,100,200
2024-09-01,PHC_001,ORAL_ANTIBIOTIC_PEDIATRIC,455,0,1,454,150,300
2024-09-01,PHC_002,ORS_SACHET,776,0,6,770,200,400
2024-09-01,PHC_002,PARACETAMOL_500MG,1546,0,11,1535,500,1000
2024-09-01,PHC_002,AMOXICILLIN_500MG,979,0,4,975,300,600
2024-09-01,PHC_002,ANTIMALARIAL_ACT,423,0,4,419,100,250
2024-09-01,PHC_002,ANTIVENOM_VIAL,34,0,0,34,10,25
2024-09-01,PHC_002,INSULIN_VIAL,148,0,1,147,40,80
2024-09-01,PHC_002,ORAL_REHYDRATION_IV,180,0,3,177,80,150
2024-09-01,PHC_002,MEASLES_VACCINE,478,0,0,478,150,300
2024-09-01,PHC_002,ANTIHISTAMINE,530,0,3,527,200,400
2024-09-01,PHC_002,IBUPROFEN_400MG,998,0,6,992,300,600
2024-09-01,PHC_002,COUGH_SYRUP,292,0,2,290,100,200
2024-09-01,PHC_002,ANTIDIARRHEAL,394,0,4,390,150,300
2024-09-01,PHC_002,DENGUE_TEST_KIT,172,0,1,171,50,120
2024-09-01,PHC_002,TETANUS_TOXOID,330,0,0,330,100,200
2024-09-01,PHC_002,ORAL_ANTIBIOTIC_PEDIATRIC,579,0,1,578,150,300
2024-09-01,PHC_003,ORS_SACHET,555,0,2,553,200,400
2024-09-01,PHC_003,PARACETAMOL_500MG,1623,0,8,1615,500,1000
2024-09-01,PHC_003,AMOXICILLIN_500MG,784,0,3,781,300,600
2024-09-01,PHC_003,ANTIMALARIAL_ACT,358,0,0,358,100,250
2024-09-01,PHC_003,ANTIVENOM_VIAL,36,0,0,36,10,25
2024-09-01,PHC_003,INSULIN_VIAL,109,0,2,107,40,80
2024-09-01,PHC_003,ORAL_REHYDRATION_IV,251,0,3,248,80,150
2024-09-01,PHC_003,MEASLES_VACCINE,434,0,2,432,150,300
2024-09-01,PHC_003,ANTIHISTAMINE,677,0,3,674,200,400
2024-09-01,PHC_003,IBUPROFEN_400MG,771,0,2,769,300,600
2024-09-01,PHC_003,COUGH_SYRUP,242,0,4,238,100,200
2024-09-01,PHC_003,ANTIDIARRHEAL,478,0,1,477,150,300
2024-09-01,PHC_003,DENGUE_TEST_KIT,149,0,0,149,50,120
2024-09-01,PHC_003,TETANUS_TOXOID,303,0,2,301,100,200
2024-09-01,PHC_003,ORAL_ANTIBIOTIC_PEDIATRIC,455,0,1,454,150,300
2024-09-01,PHC_004,ORS_SACHET,747,0,6,741,200,400
2024-09-01,PHC_004,PARACETAMOL_500MG,1834,0,9,1825,500,1000
2024-09-01,PHC_004,AMOXICILLIN_500MG,850,0,1,849,300,600
2024-09-01,PHC_004,ANTIMALARIAL_ACT,347,0,1,346,100,250
2024-09-01,PHC_004,ANTIVENOM_VIAL,44,0,0,44,10,25
2024-09-01,PHC_004,INSULIN_VIAL,139,0,3,136,40,80
2024-09-01,PHC_004,ORAL_REHYDRATION_IV,203,0,3,200,80,150
2024-09-01,PHC_004,MEASLES_VACCINE,577,0,4,573,150,300
2024-09-01,PHC_004,ANTIHISTAMINE,789,0,4,785,200,400
2024-09-01,PHC_004,IBUPROFEN_400MG,1157,0,4,1153,300,600
2024-09-01,PHC_004,COUGH_SYRUP,267,0,4,263,100,200
2024-09-01,PHC_004,ANTIDIARRHEAL,547,0,5,542,150,300
2024-09-01,PHC_004,DENGUE_TEST_KIT,222,0,0,222,50,120
2024-09-01,PHC_004,TETANUS_TOXOID,342,0,1,341,100,200
2024-09-01,PHC_004,ORAL_ANTIBIOTIC_PEDIATRIC,567,0,3,564,150,300
2024-09-01,PHC_005,ORS_SACHET,647,0,2,645,200,400
2024-09-01,PHC_005,PARACETAMOL_500MG,1238,0,8,1230,500,1000
2024-09-01,PHC_005,AMOXICILLIN_500MG,907,0,6,901,300,600
2024-09-01,PHC_005,ANTIMALARIAL_ACT,319,0,1,318,100,250
2024-09-01,PHC_005,ANTIVENOM_VIAL,46,0,0,46,10,25
2024-09-01,PHC_005,INSULIN_VIAL,122,0,0,122,40,80
2024-09-01,PHC_005,ORAL_REHYDRATION_IV,189,0,0,189,80,150
2024-09-01,PHC_005,MEASLES_VACCINE,588,0,2,586,150,300
2024-09-01,PHC_005,ANTIHISTAMINE,789,0,0,789,200,400
2024-09-01,PHC_005,IBUPROFEN_400MG,1061,0,7,1054,300,600
2024-09-01,PHC_005,COUGH_SYRUP,388,0,3,385,100,200
2024-09-01,PHC_005,ANTIDIARRHEAL,419,0,2,417,150,300
2024-09-01,PHC_005,DENGUE_TEST_KIT,158,0,0,158,50,120
2024-09-01,PHC_005,TETANUS_TOXOID,250,0,0,250,100,200
2024-09-01,PHC_005,ORAL_ANTIBIOTIC_PEDIATRIC,430,0,3,427,150,300
2024-09-01,PHC_006,ORS_SACHET,746,0,10,736,200,400
2024-09-01,PHC_006,PARACETAMOL_500MG,1716,0,12,1704,500,1000
2024-09-01,PHC_006,AMOXICILLIN_500MG,749,0,3,746,300,600
2024-09-01,PHC_006,ANTIMALARIAL_ACT,358,0,2,356,100,250
2024-09-01,PHC_006,ANTIVENOM_VIAL,31,0,0,31,10,25
2024-09-01,PHC_006,INSULIN_VIAL,102,0,3,99,40,80
2024-09-01,PHC_006,ORAL_REHYDRATION_IV,246,0,1,245,80,150
2024-09-01,PHC_006,MEASLES_VACCINE,438,0,1,437,150,300
2024-09-01,PHC_006,ANTIHISTAMINE,649,0,4,645,200,400
2024-09-01,PHC_006,IBUPROFEN_400MG,891,0,19,872,300,600
2024-09-01,PHC_006,COUGH_SYRUP,357,0,5,352,100,200
2024-09-01,PHC_006,ANTIDIARRHEAL,370,0,3,367,150,300
