date,phc_id,drug_id,qty_dispensed,patients_served_estimate
2024-09-01,PHC_001,ORS_SACHET,6.0,4
2024-09-01,PHC_001,PARACETAMOL_500MG,11.0,4
2024-09-01,PHC_001,AMOXICILLIN_500MG,5.0,4
2024-09-01,PHC_001,ANTIMALARIAL_ACT,3.0,4
2024-09-01,PHC_001,ANTIVENOM_VIAL,0.0,4
2024-09-01,PHC_001,INSULIN_VIAL,1.0,4
2024-09-01,PHC_001,ORAL_REHYDRATION_IV,,4
2024-09-01,PHC_001,MEASLES_VACCINE,4.0,4
2024-09-01,PHC_001,ANTIHISTAMINE,2.0,4
2024-09-01,PHC_001,IBUPROFEN_400MG,5.0,4
2024-09-01,PHC_001,COUGH_SYRUP,1.0,4
2024-09-01,PHC_001,ANTIDIARRHEAL,2.0,4
2024-09-01,PHC_001,DENGUE_TEST_KIT,1.0,4
2024-09-01,PHC_001,TETANUS_TOXOID,6.0,4
2024-09-01,PHC_001,ORAL_ANTIBIOTIC_PEDIATRIC,0.0,4
2024-09-01,PHC_002,ORS_SACHET,5.0,5
2024-09-01,PHC_002,PARACETAMOL_500MG,13.0,5
2024-09-01,PHC_002,AMOXICILLIN_500MG,2.0,5
2024-09-01,PHC_002,ANTIMALARIAL_ACT,0.0,5
2024-09-01,PHC_002,ANTIVENOM_VIAL,0.0,5
2024-09-01,PHC_002,INSULIN_VIAL,2.0,5
2024-09-01,PHC_002,ORAL_REHYDRATION_IV,3.0,5
2024-09-01,PHC_002,MEASLES_VACCINE,0.0,5
2024-09-01,PHC_002,ANTIHISTAMINE,7.0,5
2024-09-01,PHC_002,IBUPROFEN_400MG,6.0,5
2024-09-01,PHC_002,COUGH_SYRUP,1.0,5
2024-09-01,PHC_002,ANTIDIARRHEAL,6.0,5
2024-09-01,PHC_002,DENGUE_TEST_KIT,2.0,5
2024-09-01,PHC_002,TETANUS_TOXOID,4.0,5
2024-09-01,PHC_002,ORAL_ANTIBIOTIC_PEDIATRIC,6.0,5
2024-09-01,PHC_003,ORS_SACHET,3.0,0
2024-09-01,PHC_003,PARACETAMOL_500MG,4.0,0
2024-09-01,PHC_003,AMOXICILLIN_500MG,5.0,0
2024-09-01,PHC_003,ANTIMALARIAL_ACT,0.0,0
2024-09-01,PHC_003,ANTIVENOM_VIAL,0.0,0
2024-09-01,PHC_003,INSULIN_VIAL,1.0,0
2024-09-01,PHC_003,ORAL_REHYDRATION_IV,0.0,0
2024-09-01,PHC_003,MEASLES_VACCINE,1.0,0
2024-09-01,PHC_003,ANTIHISTAMINE,1.0,0
2024-09-01,PHC_003,IBUPROFEN_400MG,2.0,0
2024-09-01,PHC_003,COUGH_SYRUP,1.0,0
2024-09-01,PHC_003,ANTIDIARRHEAL,1.0,0
2024-09-01,PHC_003,DENGUE_TEST_KIT,0.0,0
2024-09-01,PHC_003,TETANUS_TOXOID,2.0,0
2024-09-01,PHC_003,ORAL_ANTIBIOTIC_PEDIATRIC,2.0,0
2024-09-01,PHC_004,ORS_SACHET,14.0,18
2024-09-01,PHC_004,PARACETAMOL_500MG,20.0,18
2024-09-01,PHC_004,AMOXICILLIN_500MG,13.0,18
2024-09-01,PHC_004,ANTIMALARIAL_ACT,1.0,18
2024-09-01,PHC_004,ANTIVENOM_VIAL,0.0,18
2024-09-01,PHC_004,INSULIN_VIAL,0.0,18
2024-09-01,PHC_004,ORAL_REHYDRATION_IV,3.0,18
2024-09-01,PHC_004,MEASLES_VACCINE,8.0,18
2024-09-01,PHC_004,ANTIHISTAMINE,5.0,18
2024-09-01,PHC_004,IBUPROFEN_400MG,14.0,18
2024-09-01,PHC_004,COUGH_SYRUP,1.0,18
2024-09-01,PHC_004,ANTIDIARRHEAL,3.0,18
2024-09-01,PHC_004,DENGUE_TEST_KIT,1.0,18
