date,phc_id,staff_id,role,shift,scheduled,present,leave_type
2024-09-01,PHC_001,STAFF_0001,doctor,EVENING,True,True,none
2024-09-01,PHC_001,STAFF_0002,doctor,MORNING,True,True,none
2024-09-01,PHC_001,STAFF_0003,nurse,NIGHT,True,False,sick
2024-09-01,PHC_001,STAFF_0005,nurse,MORNING,True,True,none
2024-09-01,PHC_001,STAFF_0006,nurse,MORNING,True,True,none
2024-09-01,PHC_001,STAFF_0007,nurse,MORNING,True,False,sick
2024-09-01,PHC_001,STAFF_0008,nurse,EVENING,True,True,none
2024-09-01,PHC_001,STAFF_0009,pharmacist,MORNING,True,True,none
2024-09-02,PHC_001,STAFF_0001,doctor,EVENING,True,True,none
2024-09-02,PHC_001,STAFF_0002,doctor,NIGHT,True,True,none
2024-09-02,PHC_001,STAFF_0003,nurse,MORNING,True,True,none
2024-09-02,PHC_001,STAFF_0004,nurse,MORNING,True,False,unplanned
2024-09-02,PHC_001,STAFF_0006,nurse,EVENING,True,True,none
2024-09-02,PHC_001,STAFF_0007,nurse,MORNING,True,True,none
2024-09-02,PHC_001,STAFF_0008,nurse,EVENING,True,False,sick
2024-09-02,PHC_001,STAFF_0010,pharmacist,MORNING,True,True,none
2024-09-03,PHC_001,STAFF_0002,doctor,MORNING,True,False,sick
2024-09-03,PHC_001,STAFF_0003,nurse,MORNING,True,True,none
2024-09-03,PHC_001,STAFF_0004,nurse,MORNING,True,True,none
2024-09-03,PHC_001,STAFF_0005,nurse,EVENING,True,True,none
2024-09-03,PHC_001,STAFF_0006,nurse,MORNING,True,True,none
2024-09-03,PHC_001,STAFF_0007,nurse,MORNING,True,True,none
2024-09-03,PHC_001,STAFF_0008,nurse,MORNING,True,False,sick
2024-09-03,PHC_001,STAFF_0009,pharmacist,NIGHT,True,True,none
2024-09-03,PHC_001,STAFF_0010,pharmacist,MORNING,True,True,none
2024-09-04,PHC_001,STAFF_0003,nurse,EVENING,True,True,none
2024-09-04,PHC_001,STAFF_0004,nurse,EVENING,True,True,none
2024-09-04,PHC_001,STAFF_0005,nurse,EVENING,True,True,none
2024-09-04,PHC_001,STAFF_0006,nurse,MORNING,True,True,none
2024-09-04,PHC_001,STAFF_0008,nurse,EVENING,True,True,none
2024-09-04,PHC_001,STAFF_0010,pharmacist,MORNING,True,True,none
2024-09-05,PHC_001,STAFF_0002,doctor,EVENING,True,True,none
2024-09-05,PHC_001,STAFF_0003,nurse,MORNING,True,True,none
2024-09-05,PHC_001,STAFF_0005,nurse,NIGHT,True,True,none
2024-09-05,PHC_001,STAFF_0007,nurse,EVENING,True,False,unplanned
2024-09-05,PHC_001,STAFF_0008,nurse,MORNING,True,False,sick
2024-09-05,PHC_001,STAFF_0010,pharmacist,EVENING,True,True,none
2024-09-06,PHC_001,STAFF_0002,doctor,NIGHT,True,True,none
2024-09-06,PHC_001,STAFF_0003,nurse,EVENING,True,False,sick
2024-09-06,PHC_001,STAFF_0004,nurse,MORNING,True,True,none
2024-09-06,PHC_001,STAFF_0005,nurse,EVENING,True,True,none
2024-09-06,PHC_001,STAFF_0006,nurse,MORNING,True,True,none
2024-09-06,PHC_001,STAFF_0007,nurse,MORNING,True,True,none
2024-09-06,PHC_001,STAFF_0008,nurse,NIGHT,True,True,none
2024-09-06,PHC_001,STAFF_0009,pharmacist,MORNING,True,True,none
2024-09-06,PHC_001,STAFF_0010,pharmacist,MORNING,True,True,none
2024-09-07,PHC_001,STAFF_0001,doctor,MORNING,True,True,none
2024-09-07,PHC_001,STAFF_0003,nurse,MORNING,True,False,sick
2024-09-07,PHC_001,STAFF_0004,nurse,MORNING,True,False,planned
2024-09-07,PHC_001,STAFF_0005,nurse,NIGHT,True,True,none
2024-09-07,PHC_001,STAFF_0006,nurse,EVENING,True,True,none
2024-09-07,PHC_001,STAFF_0007,nurse,MORNING,True,False,sick
2024-09-07,PHC_001,STAFF_0008,nurse,MORNING,True,False,planned
2024-09-07,PHC_001,STAFF_0009,pharmacist,EVENING,True,True,none
2024-09-07,PHC_001,STAFF_0010,pharmacist,NIGHT,True,True,none
2024-09-08,PHC_001,STAFF_0002,doctor,MORNING,True,True,none
2024-09-08,PHC_001,STAFF_0003,nurse,MORNING,True,True,none
2024-09-08,PHC_001,STAFF_0004,nurse,MORNING,True,True,none
2024-09-08,PHC_001,STAFF_0005,nurse,EVENING,True,True,none
2024-09-08,PHC_001,STAFF_0006,nurse,MORNING,True,True,none
2024-09-08,PHC_001,STAFF_0007,nurse,EVENING,True,True,none
2024-09-08,PHC_001,STAFF_0008,nurse,NIGHT,True,True,none
2024-09-08,PHC_001,STAFF_0009,pharmacist,MORNING,True,True,none
