phc_id,staff_id,role,reliability_score
PHC_001,STAFF_0001,doctor,0.74
PHC_001,STAFF_0002,doctor,0.56
PHC_001,STAFF_0003,nurse,0.77
PHC_001,STAFF_0004,nurse,0.7
PHC_001,STAFF_0005,nurse,0.64
PHC_001,STAFF_0006,nurse,0.84
PHC_001,STAFF_0007,nurse,0.52
PHC_001,STAFF_0008,nurse,0.59
PHC_001,STAFF_0009,pharmacist,0.67
PHC_001,STAFF_0010,pharmacist,0.92
PHC_002,STAFF_0011,doctor,0.83
PHC_002,STAFF_0012,doctor,0.92
PHC_002,STAFF_0013,doctor,0.74
PHC_002,STAFF_0014,nurse,0.89
PHC_002,STAFF_0015,nurse,0.76
PHC_002,STAFF_0016,nurse,0.83
PHC_002,STAFF_0017,nurse,0.86
PHC_002,STAFF_0018,nurse,0.72
PHC_002,STAFF_0019,nurse,0.75
PHC_002,STAFF_0020,nurse,0.71
PHC_002,STAFF_0021,nurse,0.96
PHC_002,STAFF_0022,pharmacist,0.97
PHC_002,STAFF_0023,pharmacist,0.7
PHC_002,STAFF_0024,pharmacist,0.95
PHC_003,STAFF_0025,doctor,0.91
PHC_003,STAFF_0026,doctor,0.75
PHC_003,STAFF_0027,doctor,0.77
PHC_003,STAFF_0028,nurse,0.92
PHC_003,STAFF_0029,nurse,0.77
PHC_003,STAFF_0030,nurse,0.78
PHC_003,STAFF_0031,nurse,0.88
PHC_003,STAFF_0032,nurse,0.8
PHC_003,STAFF_0033,nurse,0.95
PHC_003,STAFF_0034,nurse,0.93
PHC_003,STAFF_0035,nurse,0.85
PHC_003,STAFF_0036,pharmacist,0.78
PHC_003,STAFF_0037,pharmacist,0.83
PHC_004,STAFF_0038,doctor,0.79
PHC_004,STAFF_0039,doctor,0.8
PHC_004,STAFF_0040,nurse,0.66
PHC_004,STAFF_0041,nurse,0.9
PHC_004,STAFF_0042,nurse,0.83
PHC_004,STAFF_0043,nurse,0.88
PHC_004,STAFF_0044,nurse,0.94
PHC_004,STAFF_0045,pharmacist,0.94
PHC_005,STAFF_0046,doctor,0.95
PHC_005,STAFF_0047,doctor,0.85
PHC_005,STAFF_0048,nurse,0.76
PHC_005,STAFF_0049,nurse,0.99
PHC_005,STAFF_0050,nurse,0.82
PHC_005,STAFF_0051,nurse,0.76
PHC_005,STAFF_0052,nurse,1.0
PHC_005,STAFF_0053,nurse,0.76
PHC_005,STAFF_0054,pharmacist,0.36
PHC_005,STAFF_0055,pharmacist,0.83
PHC_006,STAFF_0056,doctor,0.85
PHC_006,STAFF_0057,doctor,0.79
PHC_006,STAFF_0058,doctor,0.9
PHC_006,STAFF_0059,nurse,0.88
PHC_006,STAFF_0060,nurse,0.88
PHC_006,STAFF_0061,nurse,0.64
PHC_006,STAFF_0062,nurse,0.77
PHC_006,STAFF_0063,nurse,0.76
PHC_006,STAFF_0064,nurse,0.84
PHC_006,STAFF_0065,nurse,0.86
PHC_006,STAFF_0066,nurse,0.88
PHC_006,STAFF_0067,nurse,0.92
PHC_006,STAFF_0068,nurse,0.85
PHC_006,STAFF_0069,nurse,0.8
PHC_006,STAFF_0070,pharmacist,0.92
PHC_006,STAFF_0071,pharmacist,0.59
PHC_007,STAFF_0072,doctor,0.82
PHC_007,STAFF_0073,doctor,0.81
PHC_007,STAFF_0074,doctor,0.81
PHC_007,STAFF_0075,nurse,0.78
PHC_007,STAFF_0076,nurse,0.92
PHC_007,STAFF_0077,nurse,0.97
PHC_007,STAFF_0078,nurse,0.9
PHC_007,STAFF_0079,nurse,0.6
PHC_007,STAFF_0080,pharmacist,0.83
PHC_008,STAFF_0081,doctor,0.56
PHC_008,STAFF_0082,doctor,0.92
PHC_008,STAFF_0083,nurse,0.84
PHC_008,STAFF_0084,nurse,0.92
PHC_008,STAFF_0085,nurse,0.82
PHC_008,STAFF_0086,nurse,0.87
PHC_008,STAFF_0087,pharmacist,0.91
PHC_008,STAFF_0088,pharmacist,0.89
PHC_009,STAFF_0089,doctor,0.97
PHC_009,STAFF_0090,doctor,0.76
PHC_009,STAFF_0091,doctor,0.68
PHC_009,STAFF_0092,nurse,0.8
PHC_009,STAFF_0093,nurse,0.67
PHC_009,STAFF_0094,nurse,0.78
PHC_009,STAFF_0095,nurse,0.81
PHC_009,STAFF_0096,nurse,0.38
PHC_009,STAFF_0097,nurse,0.79
PHC_009,STAFF_0098,nurse,0.92
PHC_009,STAFF_0099,nurse,0.82
PHC_009,STAFF_0100,nurse,0.93
PHC_009,STAFF_0101,pharmacist,0.67
PHC_009,STAFF_0102,pharmacist,0.72
PHC_010,STAFF_0103,doctor,0.91
PHC_010,STAFF_0104,doctor,0.65
PHC_010,STAFF_0105,nurse,0.89
PHC_010,STAFF_0106,nurse,0.84
PHC_010,STAFF_0107,nurse,0.88
PHC_010,STAFF_0108,nurse,0.79
PHC_010,STAFF_0109,pharmacist,0.58
PHC_011,STAFF_0110,doctor,0.87
PHC_011,STAFF_0111,doctor,0.84
PHC_011,STAFF_0112,doctor,0.78
PHC_011,STAFF_0113,nurse,0.87
PHC_011,STAFF_0114,nurse,0.92
PHC_011,STAFF_0115,nurse,0.97
PHC_011,STAFF_0116,nurse,0.93
PHC_011,STAFF_0117,nurse,0.77
PHC_011,STAFF_0118,nurse,0.65
PHC_011,STAFF_0119,nurse,0.9
PHC_011,STAFF_0120,nurse,0.94
PHC_011,STAFF_0121,pharmacist,0.81
PHC_011,STAFF_0122,pharmacist,0.96
PHC_011,STAFF_0123,pharmacist,0.6
PHC_012,STAFF_0124,doctor,0.57
PHC_012,STAFF_0125,doctor,0.81
PHC_012,STAFF_0126,doctor,0.84
PHC_012,STAFF_0127,nurse,0.9
PHC_012,STAFF_0128,nurse,0.96
PHC_012,STAFF_0129,nurse,0.91
PHC_012,STAFF_0130,nurse,0.69
PHC_012,STAFF_0131,nurse,0.95
PHC_012,STAFF_0132,pharmacist,0.78
PHC_012,STAFF_0133,pharmacist,0.64
PHC_013,STAFF_0134,doctor,0.6
PHC_013,STAFF_0135,doctor,0.96
PHC_013,STAFF_0136,doctor,0.42
PHC_013,STAFF_0137,nurse,0.81
PHC_013,STAFF_0138,nurse,0.92
PHC_013,STAFF_0139,nurse,0.88
PHC_013,STAFF_0140,nurse,0.61
PHC_013,STAFF_0141,nurse,0.94
PHC_013,STAFF_0142,nurse,0.65
PHC_013,STAFF_0143,pharmacist,0.9
PHC_014,STAFF_0144,doctor,0.67
PHC_014,STAFF_0145,doctor,0.95
PHC_014,STAFF_0146,doctor,0.9
PHC_014,STAFF_0147,nurse,0.57
PHC_014,STAFF_0148,nurse,0.75
PHC_014,STAFF_0149,nurse,0.99
PHC_014,STAFF_0150,nurse,0.65
PHC_014,STAFF_0151,pharmacist,0.78
PHC_014,STAFF_0152,pharmacist,0.66
PHC_015,STAFF_0153,doctor,0.84
PHC_015,STAFF_0154,doctor,0.75
PHC_015,STAFF_0155,doctor,0.75
PHC_015,STAFF_0156,nurse,0.64
PHC_015,STAFF_0157,nurse,0.92
PHC_015,STAFF_0158,nurse,0.86
PHC_015,STAFF_0159,nurse,0.9
PHC_015,STAFF_0160,nurse,0.75
PHC_015,STAFF_0161,nurse,0.87
PHC_015,STAFF_0162,nurse,0.86
PHC_015,STAFF_0163,nurse,0.64
PHC_015,STAFF_0164,pharmacist,0.87
PHC_015,STAFF_0165,pharmacist,0.66
PHC_016,STAFF_0166,doctor,0.84
PHC_016,STAFF_0167,doctor,0.95
PHC_016,STAFF_0168,nurse,0.84
PHC_016,STAFF_0169,nurse,0.77
PHC_016,STAFF_0170,nurse,0.88
PHC_016,STAFF_0171,nurse,0.85
PHC_016,STAFF_0172,nurse,0.92
PHC_016,STAFF_0173,nurse,0.91
PHC_016,STAFF_0174,pharmacist,0.79
PHC_017,STAFF_0175,doctor,0.88
PHC_017,STAFF_0176,doctor,0.9
PHC_017,STAFF_0177,doctor,0.85
PHC_017,STAFF_0178,nurse,0.76
PHC_017,STAFF_0179,nurse,0.94
PHC_017,STAFF_0180,nurse,0.75
PHC_017,STAFF_0181,nurse,0.7
PHC_017,STAFF_0182,nurse,0.69
PHC_017,STAFF_0183,nurse,0.64
PHC_017,STAFF_0184,pharmacist,0.61
PHC_017,STAFF_0185,pharmacist,0.75
PHC_018,STAFF_0186,doctor,0.75
PHC_018,STAFF_0187,doctor,0.97
PHC_018,STAFF_0188,doctor,0.84
PHC_018,STAFF_0189,nurse,0.69
PHC_018,STAFF_0190,nurse,0.54
PHC_018,STAFF_0191,nurse,0.78
PHC_018,STAFF_0192,nurse,0.75
PHC_018,STAFF_0193,nurse,0.77
PHC_018,STAFF_0194,nurse,0.94
PHC_018,STAFF_0195,nurse,0.82
PHC_018,STAFF_0196,nurse,0.94
PHC_018,STAFF_0197,nurse,0.87
PHC_018,STAFF_0198,pharmacist,0.89
PHC_018,STAFF_0199,pharmacist,0.87
PHC_019,STAFF_0200,doctor,0.91
PHC_019,STAFF_0201,doctor,0.8
PHC_019,STAFF_0202,nurse,0.93
PHC_019,STAFF_0203,nurse,0.79
PHC_019,STAFF_0204,nurse,0.91
PHC_019,STAFF_0205,nurse,0.61
PHC_019,STAFF_0206,nurse,0.94
PHC_019,STAFF_0207,nurse,0.8
PHC_019,STAFF_0208,pharmacist,0.87
PHC_019,STAFF_0209,pharmacist,0.65
PHC_020,STAFF_0210,doctor,0.8
PHC_020,STAFF_0211,doctor,0.83
PHC_020,STAFF_0212,doctor,0.87
PHC_020,STAFF_0213,nurse,0.94
PHC_020,STAFF_0214,nurse,0.82
PHC_020,STAFF_0215,nurse,0.88
PHC_020,STAFF_0216,nurse,0.87
PHC_020,STAFF_0217,nurse,0.97
PHC_020,STAFF_0218,nurse,0.86
PHC_020,STAFF_0219,pharmacist,0.81
PHC_020,STAFF_0220,pharmacist,0.7
PHC_021,STAFF_0221,doctor,0.72
PHC_021,STAFF_0222,doctor,0.86
PHC_021,STAFF_0223,nurse,0.86
PHC_021,STAFF_0224,nurse,0.9
PHC_021,STAFF_0225,nurse,0.78
PHC_021,STAFF_0226,nurse,0.89
PHC_021,STAFF_0227,nurse,0.73
PHC_021,STAFF_0228,pharmacist,0.88
PHC_022,STAFF_0229,doctor,0.88
PHC_022,STAFF_0230,doctor,0.88
PHC_022,STAFF_0231,doctor,0.69
PHC_022,STAFF_0232,nurse,0.66
PHC_022,STAFF_0233,nurse,0.87
PHC_022,STAFF_0234,nurse,0.86
PHC_022,STAFF_0235,nurse,0.74
PHC_022,STAFF_0236,nurse,0.95
PHC_022,STAFF_0237,nurse,0.8
PHC_022,STAFF_0238,pharmacist,0.66
PHC_023,STAFF_0239,doctor,0.6
PHC_023,STAFF_0240,doctor,0.82
PHC_023,STAFF_0241,nurse,0.72
PHC_023,STAFF_0242,nurse,0.62
PHC_023,STAFF_0243,nurse,0.61
PHC_023,STAFF_0244,nurse,0.67
PHC_023,STAFF_0245,nurse,0.7
PHC_023,STAFF_0246,nurse,0.87
PHC_023,STAFF_0247,nurse,0.69
PHC_023,STAFF_0248,nurse,0.86
PHC_023,STAFF_0249,nurse,0.82
PHC_023,STAFF_0250,pharmacist,0.82
PHC_023,STAFF_0251,pharmacist,0.82
PHC_024,STAFF_0252,doctor,0.73
PHC_024,STAFF_0253,doctor,0.66
PHC_024,STAFF_0254,doctor,0.78
PHC_024,STAFF_0255,nurse,0.54
PHC_024,STAFF_0256,nurse,0.91
PHC_024,STAFF_0257,nurse,0.8
PHC_024,STAFF_0258,nurse,0.81
PHC_024,STAFF_0259,nurse,0.8
PHC_024,STAFF_0260,nurse,0.76
PHC_024,STAFF_0261,nurse,0.97
PHC_024,STAFF_0262,nurse,0.53
PHC_024,STAFF_0263,nurse,0.9
PHC_024,STAFF_0264,pharmacist,0.81
PHC_024,STAFF_0265,pharmacist,0.76
PHC_024,STAFF_0266,pharmacist,0.93
PHC_025,STAFF_0267,doctor,0.83
PHC_025,STAFF_0268,doctor,0.81
PHC_025,STAFF_0269,nurse,0.96
PHC_025,STAFF_0270,nurse,0.7
PHC_025,STAFF_0271,nurse,0.74
PHC_025,STAFF_0272,nurse,0.96
PHC_025,STAFF_0273,pharmacist,0.91
PHC_025,STAFF_0274,pharmacist,0.83
PHC_026,STAFF_0275,doctor,0.81
PHC_026,STAFF_0276,doctor,0.77
PHC_026,STAFF_0277,doctor,0.83
PHC_026,STAFF_0278,nurse,0.95
PHC_026,STAFF_0279,nurse,0.7
PHC_026,STAFF_0280,nurse,0.84
PHC_026,STAFF_0281,nurse,0.88
PHC_026,STAFF_0282,pharmacist,0.85
PHC_026,STAFF_0283,pharmacist,0.82
PHC_027,STAFF_0284,doctor,0.6
PHC_027,STAFF_0285,doctor,0.77
PHC_027,STAFF_0286,nurse,0.82
PHC_027,STAFF_0287,nurse,0.63
PHC_027,STAFF_0288,nurse,0.7
PHC_027,STAFF_0289,nurse,0.75
PHC_027,STAFF_0290,nurse,0.67
PHC_027,STAFF_0291,pharmacist,0.92
PHC_027,STAFF_0292,pharmacist,0.92
PHC_028,STAFF_0293,doctor,0.88
PHC_028,STAFF_0294,doctor,0.95
PHC_028,STAFF_0295,doctor,0.88
PHC_028,STAFF_0296,nurse,0.67
PHC_028,STAFF_0297,nurse,0.54
PHC_028,STAFF_0298,nurse,0.96
PHC_028,STAFF_0299,nurse,0.89
PHC_028,STAFF_0300,nurse,0.85
PHC_028,STAFF_0301,nurse,0.91
PHC_028,STAFF_0302,pharmacist,0.85
PHC_028,STAFF_0303,pharmacist,0.85
PHC_029,STAFF_0304,doctor,0.76
PHC_029,STAFF_0305,doctor,0.93
PHC_029,STAFF_0306,doctor,0.97
PHC_029,STAFF_0307,nurse,0.84
PHC_029,STAFF_0308,nurse,0.74
PHC_029,STAFF_0309,nurse,0.79
PHC_029,STAFF_0310,nurse,0.86
PHC_029,STAFF_0311,nurse,0.9
PHC_029,STAFF_0312,nurse,0.88
PHC_029,STAFF_0313,pharmacist,0.63
PHC_029,STAFF_0314,pharmacist,0.92
PHC_030,STAFF_0315,doctor,0.64
PHC_030,STAFF_0316,doctor,0.82
PHC_030,STAFF_0317,doctor,0.76
PHC_030,STAFF_0318,nurse,0.89
PHC_030,STAFF_0319,nurse,0.8
PHC_030,STAFF_0320,nurse,0.83
PHC_030,STAFF_0321,nurse,0.76
PHC_030,STAFF_0322,nurse,0.89
